date,datetime,SPOSTMIN,SACTMIN
5/27/2017,5/27/2017 15:30,195,
5/27/2017,5/27/2017 15:38,195,
5/27/2017,5/27/2017 15:45,195,
5/27/2017,5/27/2017 15:52,195,
5/27/2017,5/27/2017 15:59,195,
5/27/2017,5/27/2017 16:03,195,
5/27/2017,5/27/2017 16:10,195,
5/27/2017,5/27/2017 16:17,195,
5/27/2017,5/27/2017 16:24,195,
5/27/2017,5/27/2017 16:30,195,
5/27/2017,5/27/2017 16:45,195,
5/27/2017,5/27/2017 16:52,195,
5/27/2017,5/27/2017 16:59,195,
5/27/2017,5/27/2017 17:03,195,
5/27/2017,5/27/2017 17:10,195,
5/27/2017,5/27/2017 17:17,195,
5/27/2017,5/27/2017 17:24,195,
5/27/2017,5/27/2017 17:30,195,
5/27/2017,5/27/2017 17:45,195,
5/27/2017,5/27/2017 17:52,195,
5/27/2017,5/27/2017 17:59,160,
5/27/2017,5/27/2017 18:03,160,
5/27/2017,5/27/2017 18:10,160,
5/27/2017,5/27/2017 18:17,160,
5/27/2017,5/27/2017 18:24,160,
5/27/2017,5/27/2017 18:30,160,
5/27/2017,5/27/2017 18:38,160,
5/27/2017,5/27/2017 18:45,160,
5/27/2017,5/27/2017 18:52,180,
5/27/2017,5/27/2017 19:03,180,
5/27/2017,5/27/2017 19:10,180,
5/27/2017,5/27/2017 19:17,180,
5/27/2017,5/27/2017 19:24,180,
5/27/2017,5/27/2017 19:30,180,
5/27/2017,5/27/2017 19:38,180,
5/27/2017,5/27/2017 19:45,180,
5/27/2017,5/27/2017 19:52,180,
5/27/2017,5/27/2017 19:59,180,
5/27/2017,5/27/2017 20:10,180,
5/27/2017,5/27/2017 20:24,180,
5/27/2017,5/27/2017 20:30,180,
5/27/2017,5/27/2017 20:38,180,
5/27/2017,5/27/2017 20:45,180,
5/27/2017,5/27/2017 20:52,-999,
5/27/2017,5/27/2017 20:59,-999,
5/27/2017,5/27/2017 21:03,-999,
5/27/2017,5/27/2017 21:10,-999,
5/27/2017,5/27/2017 21:17,-999,
5/27/2017,5/27/2017 21:24,-999,
5/27/2017,5/27/2017 21:30,-999,
5/27/2017,5/27/2017 21:38,-999,
5/27/2017,5/27/2017 21:45,-999,
5/27/2017,5/27/2017 21:59,-999,
5/27/2017,5/27/2017 22:03,-999,
5/27/2017,5/27/2017 22:10,-999,
5/27/2017,5/27/2017 22:17,-999,
5/27/2017,5/27/2017 22:24,-999,
5/27/2017,5/27/2017 22:30,-999,
5/27/2017,5/27/2017 22:38,-999,
5/27/2017,5/27/2017 22:45,-999,
5/27/2017,5/27/2017 22:52,-999,
5/27/2017,5/27/2017 22:59,180,
5/27/2017,5/27/2017 23:03,90,
5/27/2017,5/27/2017 23:10,90,
5/27/2017,5/27/2017 23:17,90,
5/27/2017,5/27/2017 23:24,90,
5/27/2017,5/27/2017 23:30,90,
5/27/2017,5/27/2017 23:35,-999,
5/27/2017,5/27/2017 23:38,90,
5/27/2017,5/27/2017 23:45,90,
5/27/2017,5/27/2017 23:52,90,
5/27/2017,5/27/2017 23:59,90,
5/28/2017,5/28/2017 7:30,5,
5/28/2017,5/28/2017 7:38,5,
5/28/2017,5/28/2017 7:52,90,
5/28/2017,5/28/2017 7:59,90,
5/28/2017,5/28/2017 8:03,90,
5/28/2017,5/28/2017 8:10,150,
5/28/2017,5/28/2017 8:17,180,
5/28/2017,5/28/2017 8:24,195,
5/28/2017,5/28/2017 8:31,250,
5/28/2017,5/28/2017 8:38,250,
5/28/2017,5/28/2017 8:52,250,
5/28/2017,5/28/2017 8:59,250,
5/28/2017,5/28/2017 9:03,250,
5/28/2017,5/28/2017 9:10,250,
5/28/2017,5/28/2017 9:17,250,
5/28/2017,5/28/2017 9:24,250,
5/28/2017,5/28/2017 9:30,250,
5/28/2017,5/28/2017 9:38,250,
5/28/2017,5/28/2017 9:45,250,
5/28/2017,5/28/2017 9:52,250,
5/28/2017,5/28/2017 9:59,250,
5/28/2017,5/28/2017 10:03,250,
5/28/2017,5/28/2017 10:10,250,
5/28/2017,5/28/2017 10:17,250,
5/28/2017,5/28/2017 10:24,250,
5/28/2017,5/28/2017 10:30,250,
5/28/2017,5/28/2017 10:38,250,
5/28/2017,5/28/2017 10:45,250,
